2020-02-16 15:52:31,558 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-02-16 15:53:29,263 [localhost-startStop-1-EventThread] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.1.103/com.jiepi.common.SomeService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.jiepi.common.SomeService&version=*, urls: [dubbo://192.168.1.103:20880/com.jiepi.common.SomeService?anyhost=true&application=01-provider-zk&dubbo=2.0.2&generic=false&interface=com.jiepi.common.SomeService&methods=hello&pid=11656&side=provider&timestamp=1581839608118, empty://192.168.1.103/com.jiepi.common.SomeService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.jiepi.common.SomeService&version=*, empty://192.168.1.103/com.jiepi.common.SomeService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.jiepi.common.SomeService&version=*, empty://192.168.1.103/com.jiepi.common.SomeService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.jiepi.common.SomeService&version=*], dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,289 [http-nio-7001-exec-10] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,357 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/common.css, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,359 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/skin.css, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,357 [http-nio-7001-exec-9] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /css/dubbo.css, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,363 [http-nio-7001-exec-7] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/ajax.js, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,357 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/trcolor.js, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,360 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/box.js, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,404 [http-nio-7001-exec-8] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/jquery.simplemodal-1.4.js, dubbo version: 2.6.2, current host: 192.168.1.103
2020-02-16 15:53:37,407 [http-nio-7001-exec-5] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /js/dubbo.js, dubbo version: 2.6.2, current host: 192.168.1.103
